city,state,Latitude,Longitude
agartala,tripura,23.831457,91.2867777
agra,uttar pradesh,27.1766701,78.0080745
ahmedabad,gujarat,23.022505,72.5713621
aizawl,mizoram,23.7307175,92.7173106
ajmer,rajasthan,26.4498954,74.6399163
alwar,rajasthan,27.5529907,76.6345735
amaravati,maharashtra,20.9319821,77.7523039
ambala,haryana,30.3752011,76.782122
amritsar,punjab,31.6339793,74.8722642
ankleshwar,gujarat,21.6264236,73.0151984
asansol,west bengal,23.6888636,86.9660638
aurangabad,maharashtra,19.8761653,75.3433139
bagalkot,karnataka,16.1691096,75.6615029
baghpat,uttar pradesh,28.9427827,77.227607
bahadurgarh,haryana,28.6913756,76.9314064
ballabgarh,haryana,28.338774,77.3205629
bangalore,karnataka,12.9715987,77.5945627
bathinda,punjab,30.210994,74.9454745
bhiwadi,maharashtra,17.8279151,73.8871125
bhiwani,haryana,28.7974684,76.1322058
bhopal,madhya pradesh,23.2599333,77.412615
bidar,karnataka,17.9103939,77.5199079
brajrajnagar,odisha,21.8284575,83.9175926
bulandshahr,uttar pradesh,28.406963,77.8498292
chamarajanagar,karnataka,11.9261471,76.9437312
chandigarh,chandigarh,30.7333148,76.7794179
chandrapur,maharashtra,19.9615398,79.2961468
chennai,tamil nadu,13.0826802,80.2707184
chikkaballapur,karnataka,13.4354985,77.7315344
chikkamagaluru,karnataka,13.3161441,75.7720439
chitoor,andhra pradesh,13.217176,79.1003289
coimbatore,tamil nadu,11.0168445,76.9558321
damoh,madhya pradesh,23.8323022,79.4386591
davanagere,karnataka,14.4644085,75.921758
delhi,delhi,28.6862738,77.2217831
dewas,madhya pradesh,22.9675929,76.0534454
dharuhera,haryana,28.2056606,76.7914639
durgapur,west bengal,23.5204443,87.3119227
eloor,kerala,10.0669103,76.2989896
ernakulam,kerala,9.9816358,76.2998842
faridabad,haryana,28.4089123,77.3177894
fatehabad,haryana,29.5131814,75.4509532
gadag,karnataka,15.4315406,75.6355149
gandhinagar,gujarat,23.2156354,72.6369415
gaya,bihar,24.7913957,85.0002336
ghaziabad,uttar pradesh,28.6691565,77.4537578
gummidipoondi,tamil nadu,13.4109557,80.1169708
gurgaon,haryana,28.4594965,77.0266383
guwahati,assam,26.1445169,91.7362365
gwalior,madhya pradesh,26.2182871,78.1828308
hajipur,bihar,25.6924354,85.208324
haldia,west bengal,22.0627164,88.0832934
hapur,uttar pradesh,28.7305798,77.7758825
haryana,haryana,29.0587757,76.085601
hisar,haryana,29.1491875,75.7216527
howrah,west bengal,22.5957689,88.2636394
hubballi,west bengal,15.3647083,75.1239547
hyderabad,telangana,17.385044,78.486671
indore,madhya pradesh,22.7195687,75.8577258
jabalpur,madhya pradesh,23.181467,79.9864071
jaipur,rajasthan,26.9124336,75.7872709
jalandhar,punjab,31.3260152,75.5761829
jind,haryana,29.325508,76.2997909
jodhpur,rajasthan,26.2389469,73.0243094
jorapokhar,jharkhand,23.7040629,86.4136687
kaithal,haryana,29.8042758,76.4039016
kalaburagi,karnataka,17.329731,76.8342957
kalyan,maharashtra,19.2403305,73.1305395
kannur,kerala,11.8744775,75.3703662
kanpur,uttar pradesh,26.449923,80.3318736
karnal,haryana,29.6856929,76.9904825
katni,madhya pradesh,23.8343441,80.3893814
khanna,punjab,30.7070769,76.2169907
kochi,kerala,9.9312328,76.2673041
kohima,nagaland,25.6751129,94.1085998
kolar,karnataka,13.1362143,78.1290986
kolkata,west bengal,22.572646,88.363895
kollam,kerala,8.8932118,76.6141396
koppal,karnataka,15.3504652,76.1567298
kota,rajasthan,25.2138156,75.8647527
kozhikode,kerala,11.2587531,75.78041
kurla,maharashtra,19.0726295,72.8844721
kurukshetra,haryana,29.9695121,76.878282
lucknow,uttar pradesh,26.8466937,80.946166
ludhiana,punjab,30.900965,75.8572758
madikeri,karnataka,12.4244205,75.7381856
maihar,madhya pradesh,24.2657817,80.7624352
mandideep,madhya pradesh,23.0992796,77.5114731
mandikhera,haryana,27.8966318,76.9916675
manesar,haryana,28.3515381,76.9427774
mangalore,karnataka,12.9141417,74.8559568
meerut,uttar pradesh,28.9844618,77.7064137
moradabad,uttar pradesh,28.8386481,78.7733286
mumbai,maharashtra,19.0759837,72.8776559
muzaffarnagar,uttar pradesh,29.4726817,77.7085091
muzaffarpur,bihar,26.1196607,85.390982
mysuru,karnataka,12.2958104,76.6393805
nagpur,maharashtra,21.1458004,79.0881546
nandesari,gujarat,22.4102781,73.0912884
narnaul,haryana,28.0687645,76.106789
nashik,maharashtra,19.9974533,73.7898023
nerul,maharashtra,19.0338457,73.0195871
noida,uttar pradesh,28.5355161,77.3910265
pali,rajasthan,25.7780623,73.331147
palwal,haryana,28.1472852,77.3259878
panchkula,haryana,30.6942091,76.860565
panipat,haryana,29.3909464,76.9635023
paravattani,kerala,10.5205324,76.2435669
patiala,punjab,30.3397809,76.3868797
patna,bihar,25.5940947,85.1375645
pithampur,madhya pradesh,22.611121,75.6772689
puducherry,puducherry,11.9415915,79.8083133
pune,maharashtra,18.5204303,73.8567437
raichur,karnataka,16.216018,77.3565608
rajamahandevaram,andhra pradesh,17.0005383,81.8040345
ramanagara,karnataka,12.7208614,77.2798963
ratlam,madhya pradesh,23.3315103,75.0366677
rohtak,haryana,28.8955152,76.606611
rupnagar,punjab,30.9661003,76.5230961
sagar,madhya pradesh,23.838805,78.7378068
satna,madhya pradesh,24.6005075,80.8322428
shillong,meghalaya,25.5787726,91.8932535
shivamogga,karnataka,13.9299299,75.568101
siliguri,west bengal,26.7271012,88.3952861
singrauli,madhya pradesh,24.1992101,82.6645469
sirsa,haryana,29.5320731,75.0317734
solapur,maharashtra,17.6599188,75.9063906
sonipat,haryana,28.9930823,77.0150735
srinagar,jammu and kashmir,34.0836708,74.7972825
talcher,odisha,20.9501027,85.216816
thane,maharashtra,19.2183307,72.9780897
thiruvananthapuram,kerala,8.5241391,76.9366376
thoothukudi,tamil nadu,8.7641661,78.1348361
thrissur,tamil nadu,10.5276416,76.2144349
tirupati,tamil nadu,13.6287557,79.4191795
trivandrum,kerala,8.5241391,76.9366376
udaipur,rajasthan,24.585445,73.712479
udupi,karnataka,13.3408807,74.7421427
ujjain,madhya pradesh,23.1764665,75.7885163
vapi,gujarat,20.3893155,72.9106202
varanasi,uttar pradesh,25.3176452,82.9739144
vatva,gujarat,22.9664255,72.6159326
vijayapura,karnataka,16.8301708,75.710031
vijayawada,andhra pradesh,16.5061743,80.6480153
vijaywada,andhra pradesh,16.5061743,80.6480153
visakhapatnam,andhra pradesh,17.6868159,83.2184815
yadgir,karnataka,16.7625516,77.1442251
